,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
1,2014-05-02 00:00:00,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA
5,2014-05-02 00:00:00,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA
9,2014-05-02 00:00:00,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA
11,2014-05-02 00:00:00,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA
13,2014-05-02 00:00:00,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA
14,2014-05-02 00:00:00,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA
20,2014-05-02 00:00:00,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA
22,2014-05-02 00:00:00,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA
24,2014-05-02 00:00:00,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA
26,2014-05-02 00:00:00,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA
29,2014-05-02 00:00:00,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA
32,2014-05-02 00:00:00,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA
36,2014-05-02 00:00:00,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA
39,2014-05-02 00:00:00,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA
43,2014-05-02 00:00:00,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA
44,2014-05-02 00:00:00,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA
48,2014-05-02 00:00:00,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA
52,2014-05-02 00:00:00,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA
58,2014-05-02 00:00:00,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA
59,2014-05-02 00:00:00,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
65,2014-05-03 00:00:00,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA
71,2014-05-04 00:00:00,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA
72,2014-05-04 00:00:00,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA
75,2014-05-05 00:00:00,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,1411 N 48th St,Seattle,WA 98103,USA
76,2014-05-05 00:00:00,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA
82,2014-05-05 00:00:00,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA
86,2014-05-05 00:00:00,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,209 30th Ave E,Seattle,WA 98112,USA
88,2014-05-05 00:00:00,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA
